sample,fastq_1,fastq_2,experimentalID,fraction,sample_group
NPCwt_IRE_R3_S4,/mnt/storage/jonni/SAMMY_SEQ/NPCwt_IRE_R3_S4_H9_S43_L002_R1_001.fastq.gz,,NPCwt_IRE_R3,S4,WT_NPC
NPCwt_IRE_R3_S4,/mnt/storage/jonni/SAMMY_SEQ/NPCwt_IRE_R3_S4_H9_S43_L001_R1_001.fastq.gz,,NPCwt_IRE_R3,S4,WT_NPC
NPCwt_IRE_R3_S3,/mnt/storage/jonni/SAMMY_SEQ/NPCwt_IRE_R3_S3_G9_S42_L002_R1_001.fastq.gz,,NPCwt_IRE_R3,S3,WT_NPC
NPCwt_IRE_R3_S3,/mnt/storage/jonni/SAMMY_SEQ/NPCwt_IRE_R3_S3_G9_S42_L001_R1_001.fastq.gz,,NPCwt_IRE_R3,S3,WT_NPC
NPCwt_IRE_R3_S2S,/mnt/storage/jonni/SAMMY_SEQ/NPCwt_IRE_R3_S2S_E9_S40_L002_R1_001.fastq.gz,,NPCwt_IRE_R3,S2S,WT_NPC
NPCwt_IRE_R3_S2S,/mnt/storage/jonni/SAMMY_SEQ/NPCwt_IRE_R3_S2S_E9_S40_L001_R1_001.fastq.gz,,NPCwt_IRE_R3,S2S,WT_NPC
NPCwt_IRE_R3_S2L,/mnt/storage/jonni/SAMMY_SEQ/NPCwt_IRE_R3_S2L_F9_S41_L002_R1_001.fastq.gz,,NPCwt_IRE_R3,S2L,WT_NPC
NPCwt_IRE_R3_S2L,/mnt/storage/jonni/SAMMY_SEQ/NPCwt_IRE_R3_S2L_F9_S41_L001_R1_001.fastq.gz,,NPCwt_IRE_R3,S2L,WT_NPC
NPCmut_IRE_R3_S4,/mnt/storage/jonni/SAMMY_SEQ/NPCmut_IRE_R3_S4_D11_S47_L002_R1_001.fastq.gz,,NPCmut_IRE_R3,S4,MUT_NPC
NPCmut_IRE_R3_S4,/mnt/storage/jonni/SAMMY_SEQ/NPCmut_IRE_R3_S4_D11_S47_L001_R1_001.fastq.gz,,NPCmut_IRE_R3,S4,MUT_NPC
NPCmut_IRE_R3_S3,/mnt/storage/jonni/SAMMY_SEQ/NPCmut_IRE_R3_S3_C11_S46_L002_R1_001.fastq.gz,,NPCmut_IRE_R3,S3,MUT_NPC
NPCmut_IRE_R3_S3,/mnt/storage/jonni/SAMMY_SEQ/NPCmut_IRE_R3_S3_C11_S46_L001_R1_001.fastq.gz,,NPCmut_IRE_R3,S3,MUT_NPC
NPCmut_IRE_R3_S2S,/mnt/storage/jonni/SAMMY_SEQ/NPCmut_IRE_R3_S2S_A11_S44_L002_R1_001.fastq.gz,,NPCmut_IRE_R3,S2S,MUT_NPC
NPCmut_IRE_R3_S2S,/mnt/storage/jonni/SAMMY_SEQ/NPCmut_IRE_R3_S2S_A11_S44_L001_R1_001.fastq.gz,,NPCmut_IRE_R3,S2S,MUT_NPC
NPCmut_IRE_R3_S2L,/mnt/storage/jonni/SAMMY_SEQ/NPCmut_IRE_R3_S2L_B11_S45_L002_R1_001.fastq.gz,,NPCmut_IRE_R3,S2L,MUT_NPC
NPCmut_IRE_R3_S2L,/mnt/storage/jonni/SAMMY_SEQ/NPCmut_IRE_R3_S2L_B11_S45_L001_R1_001.fastq.gz,,NPCmut_IRE_R3,S2L,MUT_NPC
ESCmut_IRE_R3_S4,/mnt/storage/jonni/SAMMY_SEQ/ESCmut_IRE_R3_S4_D9_S39_L002_R1_001.fastq.gz,,ESCmut_IRE_R3,S4,MUT_ESC
ESCmut_IRE_R3_S4,/mnt/storage/jonni/SAMMY_SEQ/ESCmut_IRE_R3_S4_D9_S39_L001_R1_001.fastq.gz,,ESCmut_IRE_R3,S4,MUT_ESC
ESCmut_IRE_R3_S3,/mnt/storage/jonni/SAMMY_SEQ/ESCmut_IRE_R3_S3_C9_S38_L002_R1_001.fastq.gz,,ESCmut_IRE_R3,S3,MUT_ESC
ESCmut_IRE_R3_S3,/mnt/storage/jonni/SAMMY_SEQ/ESCmut_IRE_R3_S3_C9_S38_L001_R1_001.fastq.gz,,ESCmut_IRE_R3,S3,MUT_ESC
ESCmut_IRE_R3_S2S,/mnt/storage/jonni/SAMMY_SEQ/ESCmut_IRE_R3_S2S_A9_S36_L002_R1_001.fastq.gz,,ESCmut_IRE_R3,S2S,MUT_ESC
ESCmut_IRE_R3_S2S,/mnt/storage/jonni/SAMMY_SEQ/ESCmut_IRE_R3_S2S_A9_S36_L001_R1_001.fastq.gz,,ESCmut_IRE_R3,S2S,MUT_ESC
ESCmut_IRE_R3_S2L,/mnt/storage/jonni/SAMMY_SEQ/ESCmut_IRE_R3_S2L_B9_S37_L002_R1_001.fastq.gz,,ESCmut_IRE_R3,S2L,MUT_ESC
ESCmut_IRE_R3_S2L,/mnt/storage/jonni/SAMMY_SEQ/ESCmut_IRE_R3_S2L_B9_S37_L001_R1_001.fastq.gz,,ESCmut_IRE_R3,S2L,MUT_ESC
NPCwt_n2_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_06_02_25/NPCwt_n2_S2S_F1_S34_L002_R1_001.fastq.gz,,NPCwt_n2,S2S,WT_NPC
NPCwt_n2_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_06_02_25/NPCwt_n2_S2S_F1_S34_L001_R1_001.fastq.gz,,NPCwt_n2,S2S,WT_NPC
NPCwt_n1_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_06_02_25/NPCwt_n1_S2S_E1_S33_L002_R1_001.fastq.gz,,NPCwt_n1,S2S,WT_NPC
NPCwt_n1_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_06_02_25/NPCwt_n1_S2S_E1_S33_L001_R1_001.fastq.gz,,NPCwt_n1,S2S,WT_NPC
ESCwt_n2_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_06_02_25/ESCwt_n2_S2S_D1_S32_L002_R1_001.fastq.gz,,ESCwt_n2,S2S,WT_ESC
ESCwt_n2_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_06_02_25/ESCwt_n2_S2S_D1_S32_L001_R1_001.fastq.gz,,ESCwt_n2,S2S,WT_ESC
ESCwt_n1_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_06_02_25/ESCwt_n1_S2S_C1_S31_L002_R1_001.fastq.gz,,ESCwt_n1,S2S,WT_ESC
ESCwt_n1_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_06_02_25/ESCwt_n1_S2S_C1_S31_L001_R1_001.fastq.gz,,ESCwt_n1,S2S,WT_ESC
NPCwt_n2_S4,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/NPCwt_n2_S4_H7_S48_L002_R1_001.fastq.gz,,NPCwt_n2,S4,WT_NPC
NPCwt_n2_S4,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/NPCwt_n2_S4_H7_S48_L001_R1_001.fastq.gz,,NPCwt_n2,S4,WT_NPC
NPCwt_n2_S3,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/NPCwt_n2_S3_G7_S47_L002_R1_001.fastq.gz,,NPCwt_n2,S3,WT_NPC
NPCwt_n2_S3,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/NPCwt_n2_S3_G7_S47_L001_R1_001.fastq.gz,,NPCwt_n2,S3,WT_NPC
NPCwt_n2_S2L,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/NPCwt_n2_S2L_F7_S46_L002_R1_001.fastq.gz,,NPCwt_n2,S2L,WT_NPC
NPCwt_n2_S2L,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/NPCwt_n2_S2L_F7_S46_L001_R1_001.fastq.gz,,NPCwt_n2,S2L,WT_NPC
NPCwt_n1_S4,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_14_03_25/NPCwt_n1_S4_E7_S45_L002_R1_001.fastq.gz,,NPCwt_n1,S4,WT_NPC
