"","gene_name","chromosome","start","end","mid","mid_Mb","bin"
"7414","Tspan7","X",10485158,10596605,10540881.5,10.5408815,"(10,15]"
"7440","Bcor","X",12036740,12160355,12098547.5,12.0985475,"(10,15]"
"7447","1810030O07Rik","X",12654879,12673668,12664273.5,12.6642735,"(10,15]"
"7449","Med14","X",12675369,12762073,12718721,12.718721,"(10,15]"
"7453","AA414768","X",12936872,12938128,12937500,12.9375,"(10,15]"
"7456","Usp9x","X",13071498,13173328,13122413,13.122413,"(10,15]"
"7459","Rpl3-ps1","X",13202571,13203780,13203175.5,13.2031755,"(10,15]"
"7926","Stk26","X",50841047,50893097,50867072,50.867072,"(50,55]"
"7930","Mbnl3","X",51117269,51206532,51161900.5,51.1619005,"(50,55]"
"7937","Usp26","X",51753959,51801233,51777596,51.777596,"(50,55]"
"7960","Phf6","X",52912266,52956943,52934604.5,52.9346045,"(50,55]"
"7966","Gm28730","X",53051194,53053159,53052176.5,53.0521765,"(50,55]"
"7970","C430049B03Rik","X",53055046,53057190,53056118,53.056118,"(50,55]"
"7971","Plac1","X",53069995,53240111,53155053,53.155053,"(50,55]"
"7977","Gm14584","X",53418331,53418967,53418649,53.418649,"(50,55]"
"7980","Rtl8c","X",53608032,53608432,53608232,53.608232,"(50,55]"
"7984","Rtl8b","X",53669177,53670408,53669792.5,53.6697925,"(50,55]"
"7986","AW822252","X",53695855,53716773,53706314,53.706314,"(50,55]"
"7988","1700013H16Rik","X",53742901,53757831,53750366,53.750366,"(50,55]"
"7991","Zfp36l3","X",53774048,53776394,53775221,53.775221,"(50,55]"
"8214","Tmem185a","X",70459753,70477180,70468466.5,70.4684665,"(70,75]"
"8233","Mtmr1","X",71364760,71419196,71391978,71.391978,"(70,75]"
"8239","Gpr50","X",71663667,71669257,71666462,71.666462,"(70,75]"
"8249","Gabre","X",72255999,72274803,72265401,72.265401,"(70,75]"
"8265","Mir2137","X",72992079,72992144,72992111.5,72.9921115,"(70,75]"
"8266","Pnma5","X",73033981,73037103,73035542,73.035542,"(70,75]"
"8269","Xlr4a","X",73074345,73082478,73078411.5,73.0784115,"(70,75]"
"8270","Xlr3a","X",73086293,73097095,73091694,73.091694,"(70,75]"
"8272","Xlr5a","X",73107635,73292976,73200305.5,73.2003055,"(70,75]"
"8275","Xlr5b","X",73148796,73158872,73153834,73.153834,"(70,75]"
"8277","Xlr3b","X",73192207,73202930,73197568.5,73.1975685,"(70,75]"
"8278","Xlr4b","X",73214333,73222453,73218393,73.218393,"(70,75]"
"8280","Xlr4c","X",73233688,73243130,73238409,73.238409,"(70,75]"
"8281","Xlr3c","X",73254540,73265390,73259965,73.259965,"(70,75]"
"8287","Gm18336","X",73396439,73398736,73397587.5,73.3975875,"(70,75]"
"8293","Bgn","X",73483602,73495933,73489767.5,73.4897675,"(70,75]"
"8296","Dusp9","X",73639419,73643514,73641466.5,73.6414665,"(70,75]"
"8297","Pnck","X",73655994,73660117,73658055.5,73.6580555,"(70,75]"
"8298","Slc6a8","X",73673150,73682502,73677826,73.677826,"(70,75]"
"8300","Abcd1","X",73716597,73738534,73727565.5,73.7275655,"(70,75]"
"8310","Arhgap4","X",73891442,73921870,73906656,73.906656,"(70,75]"
"8330","Dnase1l1","X",74273217,74282337,74277777,74.277777,"(70,75]"
"8333","Taz","X",74281912,74290151,74286031.5,74.2860315,"(70,75]"
"8335","Gdi1","X",74304998,74311862,74308430,74.30843,"(70,75]"
"8718","Slc7a3","X",101079210,101086020,101082615,101.082615,"(100,105]"
"8726","Il2rg","X",101264378,101268255,101266316.5,101.2663165,"(100,105]"
"8767","Gm9112","X",102706890,102707635,102707262.5,102.7072625,"(100,105]"
"8768","Dmrtc1b","X",102707865,102715209,102711537,102.711537,"(100,105]"
"8809","Xist","X",103460366,103483254,103471810,103.47181,"(100,105]"
"8835","Slc16a2","X",103697414,103821983,103759698.5,103.7596985,"(100,105]"
"8851","Uprt","X",104482818,104507490,104495154,104.495154,"(100,105]"
"9224","Nxf7","X",135579555,135598777,135589166,135.589166,"(135,140]"
"9240","Nxf3","X",136072099,136085255,136078677,136.078677,"(135,140]"
"9299","Esx1","X",137115397,137122083,137118740,137.11874,"(135,140]"
"9314","Nrk","X",138914430,139010532,138962481,138.962481,"(135,140]"
"9319","Pwwp3b","X",139210042,139238335,139224188.5,139.2241885,"(135,140]"
"9320","Platr21","X",139240226,139357738,139298982,139.298982,"(135,140]"
"9322","Trap1a","X",139333683,139338169,139335926,139.335926,"(135,140]"
